시설명,시설유형,주소,위도,경도
202230300000800596,CCTV,서울특별시 송정길 8,37.5488319,127.0603179
202230300000800835,CCTV,서울특별시 동일로 309,37.559322,127.073439
202230300000800083,CCTV,서울특별시 연무장15길 11,37.5419692,127.0597229
202230300000801186,CCTV,,37.5493511,127.0567687
202230300000800997,CCTV,서울특별시 동일로57길 7 (송정동),37.5571975,127.0714797
202230300000800769,CCTV,서울특별시 아차산로17길 49,37.54668,127.0649
202230300000800615,CCTV,서울특별시 자동차시장3길 47,37.5605316,127.0626678
202230300000800278,CCTV,서울특별시 송정12가길 20,37.5506907,127.066473
202230300000800785,CCTV,서울특별시 송정동 75-20,37.549918,127.057219
202230300000801268,CCTV,서울특별시 가람길 267,37.5580482,127.0680847
202230300000800347,CCTV,서울특별시 동일로59가길 10-1,37.5583839,127.0723342
202230300000800958,CCTV,서울특별시 천호대로 336,37.563273,127.056926
202230300000800228,CCTV,서울특별시 뚝섬로17길 16,37.5388298,127.059761
202230300000800953,CCTV,서울특별시 성수2가3동280-12,37.546861,127.064729
202230300000800584,CCTV,서울특별시 송정12바길 8,37.5494613,127.0674819
202230300000800307,CCTV,서울특별시 동일로 263-49,37.5553588,127.0705566
202230300000800568,CCTV,서울특별시 연무장13길 15,37.5431137,127.0586624
202230300000800211,CCTV,서울특별시 아차산로9길 12,37.545475,127.0583801
202230300000800734,CCTV,서울특별시 자동차시장길 48,37.558662,127.056295
202230300000800285,CCTV,서울특별시 성덕정길 127,37.5368003,127.0571975
202230300000801217,CCTV,서울특별시 송정6길 22,37.5486068,127.066574
202230300000800999,CCTV,서울특별시 송정10길 15 (송정동),37.5492744,127.0665512
202230300000800995,CCTV,서울특별시 동일로43길 22 (송정동),37.5553092,127.0700302
202230300000801248,CCTV,서울특별시 송정18길 8,37.5527038,127.0681686
202230300000800578,CCTV,서울특별시 송정길 50,37.5498542,127.064888
202230300000800372,CCTV,서울특별시 성수이로 16길 13,37.5409011,127.0577392
202230300000800276,CCTV,서울특별시 광나루로 242-21,37.5487785,127.0564956
202230300000800174,CCTV,서울특별시 동일로55길 14-1,37.5564994,127.0703735
202230300000800594,CCTV,서울특별시 광나루로11길 49-9,37.5521545,127.0682296
202230300000801309,CCTV,서울특별시 천호대로 406,37.5612,127.064078
202230300000800574,CCTV,서울특별시 성수이로22길 37,37.5438919,127.0608139
202230300000800825,CCTV,서울특별시 송정10길 19,37.549046,127.06693
202230300000800636,CCTV,서울특별시 둘레21길 17부근,37.5360336,127.0570526
202230300000801187,CCTV,,37.5428476,127.0622631
202230300000800306,CCTV,서울특별시 자동차시장1길 39,37.5609397,127.0627822
202230300000800175,CCTV,서울특별시 송정길 74,37.5516853,127.0664901
202230300000800880,CCTV,서울특별시 아차산로 116,37.544021,127.057256
202230300000801271,CCTV,서울특별시 동일로 73-1,37.539627,127.06221
202230300000801158,CCTV,,37.547343,127.066756
202230300000800579,CCTV,서울특별시 송정6길 21-7,37.5488433,127.0667953
202230300000801058,CCTV,서울특별시 동일로 143 (성수동2가),37.5457542,127.0652653
202230300000801220,CCTV,서울특별시 동일로59가길 18,37.5586433,127.0725708
202230300000800092,CCTV,서울특별시 동일로59길 7,37.5580291,127.0718688
202230300000801203,CCTV,서울특별시 송정12라길 50,37.551316,127.068265
202230300000801056,CCTV,서울특별시 연무장길 89 (성수동2가),37.5412826,127.0594406
202230300000801062,CCTV,서울특별시 천호대로 366 (용답동),37.562088,127.0594482
202230300000800393,CCTV,서울특별시 가람길 113,37.5541,127.0566787
202230300000800236,CCTV,서울특별시 자동차시장1길 94-67,37.558773,127.0667495
202230300000800783,CCTV,서울특별시 송정길 36,37.549374,127.063598
202230300000800824,CCTV,서울특별시 송정10길 3-1,37.549422,127.066096
202230300000800583,CCTV,서울특별시 송정길 36,37.5490531,127.0637435
202230300000800782,CCTV,서울특별시 송정길 70,37.551319,127.065826
202230300000800591,CCTV,서울특별시 송정8길 4,37.549652,127.0652847
202230300000800086,CCTV,서울특별시 아차산로15길 3,37.543457,127.0621109
202230300000800810,CCTV,서울특별시 아차산로 120,37.544041,127.057404
202230300000800362,CCTV,서울특별시 송정6길 8,37.5494194,127.0650939
202230300000800598,CCTV,서울특별시 송정18가길 15-17,37.5539207,127.0684356
202230300000801037,CCTV,서울특별시 가람길 283 (용답동),37.5595245,127.0695648
202230300000801124,CCTV,서울특별시 아차산로11가길 3,37.5464098,127.0603565
202230300000800781,CCTV,서울특별시 송정18가길 15-20,37.554053,127.067857
202230300000800129,CCTV,서울특별시 성덕정21길 9,37.5375633,127.0569
202230300000800573,CCTV,서울특별시 광나루로8길 22,37.5474357,127.0649719
202230300000800768,CCTV,서울특별시 아차산로17길 57,37.54704,127.0659
202230300000800717,CCTV,서울특별시 송정18가길 21-1,37.55427,127.06901
202230300000801093,CCTV,서울특별시 성수이로 147 (성수동2가),37.5478057,127.0578689
202230300000801120,CCTV,서울특별시 자동차시장3길 99,37.558333,127.067397
202230300000800784,CCTV,서울특별시 송정길 8,37.548761,127.060386
202230300000801035,CCTV,서울특별시 자동차시장1길 63 (용답동),37.5609283,127.0645141
202230300000800832,CCTV,서울특별시 송정12라길 15-1,37.549994,127.067214
202230300000800373,CCTV,서울특별시 동일로43길 9,37.5546607,127.0698623
202230300000800581,CCTV,서울특별시 동일로59가길 22,37.558834,127.072731
202230300000800601,CCTV,서울특별시 송정18가길 35,37.555498,127.069521
202530400000800144,CCTV,서울특별시 광진구 자양로19길 48-4 (자양동),37.53846,127.08097
202530400000800755,CCTV,서울특별시 광진구 용마도시자연공원-유화교,37.56512,127.0974
202530400000801024,CCTV,서울특별시 광진구 군자로 127 세종대 기숙사 코너,37.55368,127.07347
202530400000800025,CCTV,서울특별시 광진구 자양로26길 95,37.54019,127.08915
202530400000800983,CCTV,서울특별시 광진구 아차산로 511 (광장동),37.54215,127.09821
202530400000801003,CCTV,"서울특별시 광진구 구의강변로 84 (구의동, 세양아파트)",37.53708,127.0938
202530400000800257,CCTV,서울특별시 광진구 능동로53길 24-9 (중곡동),37.56723,127.0835
202530400000800625,CCTV,서울특별시 광진구 천호대로 115길 29,37.5571,127.08394
202530400000800924,CCTV,서울특별시 광진구 긴고랑로42길 3-28,37.55893,127.09438
202530400000800912,CCTV,서울특별시 광진구 능동로30길 38,37.55321,127.07942
202530400000800846,CCTV,서울특별시 광진구 아차산로59길 49,37.54056,127.09067
202530400000800543,CCTV,서울특별시 광진구 천호대로 114길 58,37.55323,127.08162
202530400000801182,CCTV,서울특별시 광진구 아차산로23길 31 (화양동),37.54336,127.06655
202530400000800406,CCTV,서울특별시 광진구 용마산로28길 24 (중곡동),37.56791,127.08702
202530400000800841,CCTV,서울특별시 광진구 구의동 3-17,37.55537,127.09911
202530400000800803,CCTV,서울특별시 광진구 능동 237-3,37.55531,127.08359
202530400000800775,CCTV,서울특별시 광진구 구의동3-11,37.55318,127.10115
202530400000801243,CCTV,서울특별시 광진구 능동로 81,37.53792,127.06952
202530400000800934,CCTV,서울특별시 광진구 천호대로136길 13,37.54879,127.09141
202530400000800980,CCTV,서울특별시 광진구 아차산로73길 48 (광장동),37.54683,127.10224
202530400000800990,CCTV,서울특별시 광진구 영화사로 105 (구의동),37.55396,127.09782
202530400000800595,CCTV,서울특별시 광진구 군자동 111-2,37.55324,127.07325
202530400000800648,CCTV,서울특별시 광진구 용마산로8마길 26,37.56131,127.09084
202530400000800760,CCTV,서울특별시 광진구 아차산생태공원-소각장,37.55221,127.10066
202530400000800544,CCTV,서울특별시 광진구 자양로 237-1,37.54782,127.08806
202530400000800166,CCTV,서울특별시 광진구 자양번영로11길 37-14 (자양동),37.53695,127.07443
202530400000801010,CCTV,서울특별시 광진구 구의강변로 69 구남초교 정문 앞,37.53711,127.09293
202530400000801049,CCTV,서울특별시 광진구 능동로 42 (자양동),37.53453,127.0683
202530400000800310,CCTV,서울특별시 광진구 광나루로22길 7,37.5463,127.07523
202530400000800307,CCTV,서울특별시 광진구 아차산로25길 48 (화양동),37.54343,127.06753
202530400000801140,CCTV,서울특별시 광진구 뚝섬로57가길 38 (자양동),37.53201,127.08161
202530400000800366,CCTV,서울특별시 광진구 광나루로38길 67 (구의동),37.54207,127.08733
202530400000800856,CCTV,서울특별시 광진구 구의동 3-10,37.55336,127.10222
202530400000800164,CCTV,서울특별시 광진구 자양번영로11길 29 (자양동),37.53738,127.07507
202530400000801036,CCTV,서울특별시 광진구 자양번영로6길 20 (자양동),37.53226,127.07681
202530400000800956,CCTV,서울특별시 광진구 능동로 120-1,37.53974,127.07188
202530400000800769,CCTV,서울특별시 광진구 아차산생태공원-해맞이공원,37.55996,127.10157
202530400000800416,CCTV,서울특별시 광진구 자양로43길 123 (중곡동),37.55593,127.08901
202530400000801058,CCTV,서울특별시 광진구 뚝섬로23길 44 (자양동),37.53715,127.06589
202530400000801123,CCTV,서울특별시 광진구 광장로1길 23 (광장동),37.54795,127.10205
