시설명,시설유형,주소,위도,경도,데이터출처
CCTV,CCTV,서울특별시 광진구 능동로29가길 24 (군자동),37.55572,127.07791,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로27길 9 (군자동),37.55384,127.07682,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로27길 9 (군자동),37.55243,127.07496,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로27길 9 (군자동),37.55046,127.07053,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 광나루로17길 14 (군자동),37.54838,127.07269,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 동일로60길 25 (군자동),37.55829,127.07474,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 군자로17길 34 (군자동),37.55676,127.07722,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 면목로5길 30-6 (군자동),37.55685,127.07461,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로116길 88 (능동),37.55231,127.08184,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로24길 76 (능동),37.55322,127.08056,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로110길 34 (능동),37.55581,127.07947,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로36길 12 (능동),37.55623,127.0798,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로112길 10 (능동),37.55572,127.08112,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로112길 25 (능동),37.55509,127.08119,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로116길 26 (능동),37.55412,127.08363,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로32길 82-34 (능동),37.55304,127.08239,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로116길 57 (능동),37.55259,127.08284,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로118길 36 (능동),37.55318,127.08466,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로118길 16 (능동),37.55412,127.08523,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로124길 86 (능동),37.55214,127.08481,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로120길 21 (능동),37.55313,127.08636,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로120길 21 (능동),37.55311,127.08794,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로122길 33 (능동),37.55211,127.08732,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로110길 87 (능동),37.55361,127.07842,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로24길 41 (능동),37.55239,127.07913,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로26길 23 (능동),37.55269,127.07855,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로32길 16-16 (능동),37.5546,127.07917,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로32길 16-16 (능동),37.55393,127.0792,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로13길 41 (자양동),37.53437,127.08195,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로21길 35 (자양동),37.53952,127.08133,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 아차산로46길 23 (자양동),37.53609,127.08083,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 아차산로46가길 19 (자양동),37.53637,127.08196,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로15길 6 (자양동),37.53604,127.08312,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로47길 49 (자양동),37.53455,127.07948,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로15길84,37.53479,127.0789,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로13길 100 (자양동),37.5326,127.07981,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로51길 24 (자양동),37.53368,127.08009,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로13다길 34 (자양동),37.53321,127.07812,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로13나길 14 (자양동),37.53388,127.08039,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로9길 24-3 (자양동),37.53385,127.08294,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로13길 73 (자양동),37.53351,127.08096,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로11길 45-8 (자양동),37.53343,127.08219,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로57가길 55 (자양동),37.53239,127.08055,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로55길 19 (자양동),37.53238,127.08236,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로21길 14 (자양동),37.53992,127.08225,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로19길 48-4 (자양동),37.53846,127.08097,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로19길 54 (자양동),37.53818,127.08046,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로52마길 60 (자양동),37.52873,127.08111,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로52마길 60 (자양동),37.52783,127.0844,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로5길 13 (자양동),37.53164,127.08507,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로6길 40 (자양동),37.53278,127.08788,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로48길 52 (자양동),37.52967,127.07684,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로50길 28 (자양동),37.53119,127.07791,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로54길 24 (자양동),37.53064,127.08049,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로54길 46 (자양동),37.52968,127.07999,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로52마길 42-15 (자양동),37.52797,127.08024,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로3길 49 (자양동),37.52914,127.08391,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로3길 39-3 (자양동),37.52987,127.08455,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로3가길 36 (자양동),37.52866,127.08511,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로3가길 37 (자양동),37.53642,127.08465,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로60길 6 (자양동),37.53257,127.08654,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로4길 12-1 (자양동),37.53147,127.08679,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로2길 29 (자양동),37.53153,127.08817,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로4나길 31 (자양동),37.53045,127.08796,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양번영로11길 4-9 (자양동),37.53753,127.07667,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양번영로11길 29 (자양동),37.53738,127.07507,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 아차산로 288 (자양동),37.53852,127.07501,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양번영로11길 37-14 (자양동),37.53695,127.07443,기존_광진구통합본
