facility_id,시설유형,geometry,grid_id,시설명,주소,위도,경도,inside_gwangjin,inside_or_near_gwangjin
4696,가로등,POINT (963238.7885925614 1948643.5011580442),G0034,가로등,,37.5363777,127.0839015,True,True
4697,가로등,POINT (963237.2889509731 1948657.9973755064),G0034,가로등,,37.5365083,127.0838838,True,True
4698,가로등,POINT (963239.0350574515 1948677.2388261696),G0034,가로등,,37.5366818,127.0839026,True,True
4699,가로등,POINT (963197.2887700431 1948656.998439678),G0034,가로등,,37.5364977,127.0834311,True,True
4700,가로등,POINT (963197.611626425 1948656.0872501042),G0034,가로등,,37.5364895,127.0834348,True,True
4701,가로등,POINT (963203.784405332 1948631.5075000909),G0034,가로등,,37.5362682,127.0835059,True,True
4702,가로등,POINT (963212.0403643706 1948604.4999032142),G0033,가로등,,37.5360251,127.0836007,True,True
4703,가로등,POINT (963221.7817521226 1948573.7468519588),G0033,가로등,,37.5357483,127.0837125,True,True
4704,가로등,POINT (963227.5309407756 1948551.243694178),G0033,가로등,,37.5355457,127.0837787,True,True
4705,가로등,POINT (963236.2863333768 1948527.2516539025),G0033,가로등,,37.5353298,127.083879,True,True
4706,가로등,POINT (963246.0367416613 1948494.5015647516),G0033,가로등,,37.535035,127.083991,True,True
4707,가로등,POINT (963254.0367670021 1948467.495150699),G0033,가로등,,37.5347919,127.0840829,True,True
4708,가로등,POINT (963197.8223869948 1948984.8645734044),G0034,가로등,,37.5394529,127.0834207,True,True
4709,가로등,POINT (963195.0394553521 1949022.7428847284),G0034,가로등,,37.5397942,127.0833873,True,True
4710,가로등,POINT (963192.0339159274 1949052.2457373156),G0034,가로등,,37.54006,127.0833518,True,True
4711,가로등,POINT (963203.784219349 1949084.2460777506),G0034,가로등,,37.5403489,127.0834832,True,True
4712,가로등,POINT (963211.0365296465 1949109.9978861155),G0035,가로등,,37.5405813,127.083564,True,True
4713,가로등,POINT (963224.032436452 1949150.003066115),G0035,가로등,,37.5409424,127.0837091,True,True
4714,가로등,POINT (963237.9050197839 1949192.500680488),G0035,가로등,,37.541326,127.083864,True,True
4715,가로등,POINT (963246.7881704142 1949221.4960328368),G0035,가로등,,37.5415877,127.0839631,True,True
4716,가로등,POINT (963257.7782989594 1949251.5027816473),G0035,가로등,,37.5418586,127.084086,True,True
4717,가로등,POINT (963272.1121401729 1949288.506570297),G0035,가로등,,37.5421927,127.0842464,True,True
4718,가로등,POINT (963221.2827992043 1948720.4865892418),G0034,가로등,,37.5370709,127.0836995,True,True
4719,가로등,POINT (963280.7874763955 1949316.5043622183),G0035,가로등,,37.5424454,127.0843432,True,True
4720,가로등,POINT (963293.0394913104 1949348.247438829),G0046,가로등,,37.542732,127.0844803,True,True
4721,가로등,POINT (963299.7833184744 1949370.994929457),G0046,가로등,,37.5429373,127.0845555,True,True
4722,가로등,POINT (963311.533852428 1949403.239508691),G0046,가로등,,37.5432284,127.0846869,True,True
4723,가로등,POINT (963323.5427044644 1949445.9895868716),G0046,가로등,,37.5436142,127.0848207,True,True
4724,가로등,POINT (963337.282933364 1949482.7409361387),G0046,가로등,,37.543946,127.0849744,True,True
4725,가로등,POINT (963350.2832030065 1949519.9948326233),G0046,가로등,,37.5442823,127.0851197,True,True
4726,가로등,POINT (963358.5307195763 1949549.2482917856),G0046,가로등,,37.5445463,127.0852116,True,True
4727,가로등,POINT (963373.0369338843 1949591.4992643772),G0046,가로등,,37.5449277,127.0853737,True,True
4728,가로등,POINT (963217.5360084632 1948750.2367798623),G0034,가로등,,37.5373389,127.0836556,True,True
4729,가로등,POINT (963214.0311218926 1948780.7403374733),G0034,가로등,,37.5376137,127.0836144,True,True
4730,가로등,POINT (963211.033233758 1948814.0042158458),G0034,가로등,,37.5379134,127.0835788,True,True
4731,가로등,POINT (963208.5377531605 1948845.0025677574),G0034,가로등,,37.5381927,127.083549,True,True
4732,가로등,POINT (963205.5343229987 1948878.998722097),G0034,가로등,,37.538499,127.0835133,True,True
4733,가로등,POINT (963202.2912693582 1948914.7377981087),G0034,가로등,,37.538821,127.0834748,True,True
4734,가로등,POINT (963199.2846993286 1948955.989862152),G0034,가로등,,37.5391927,127.0834387,True,True
4735,가로등,POINT (963253.4461046101 1949322.6274726249),G0035,가로등,,37.5424995,127.0840334,True,True
