grid_id,대표점_위도,대표점_경도,cell_size_m,cell_area_m2,full_cell_area_m2,area_ratio,is_boundary_cell,계산방식,CCTV개수,가로등개수,비상벨개수,경찰서개수,전체시설개수,CCTV보정개수,가로등보정개수,비상벨보정개수,경찰서보정개수,전체시설보정개수,안전점수,안전등급
G0054,37.529273488855786,127.09157151233481,500,127338.76,250000,0.509355,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,3,7,3,0,13,5.89,13.74,5.89,0.0,25.52,14.14,E
G0055,37.533837066866155,127.0929703792773,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,21,104,12,0,137,21.0,104.0,12.0,0.0,137.0,56.7,C
G0056,37.538343758588915,127.09294588346184,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,35,105,29,0,169,35.0,105.0,29.0,0.0,169.0,74.5,B
G0057,37.54285044684996,127.09292138218973,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,27,54,23,0,104,27.0,54.0,23.0,0.0,104.0,55.1,C
G0058,37.54735713164917,127.09289687545972,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,17,37,15,0,69,17.0,37.0,15.0,0.0,69.0,38.0,E
G0059,37.55186381298637,127.09287236327047,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,30,27,29,0,86,30.0,27.0,29.0,0.0,86.0,49.1,D
G0060,37.55637049086144,127.09284784562075,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,27,25,25,0,77,27.0,25.0,25.0,0.0,77.0,46.4,D
G0061,37.56087716527421,127.09282332250923,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,22,17,21,0,60,22.0,17.0,21.0,0.0,60.0,40.5,D
G0062,37.565383836224555,127.09279879393466,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0063,37.568671240828884,127.09278089803398,500,146735.7,250000,0.586943,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,4,0,4,0,8,6.81,0.0,6.81,0.0,13.63,11.59,E
G0064,37.53155645035058,127.0958359019924,500,34.28,250000,0.000137,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0065,37.53331232313368,127.0969410273573,500,130736.85,250000,0.522947,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0066,37.538363131312806,127.09860538203587,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,3,43,1,0,47,3.0,43.0,1.0,0.0,47.0,16.0,E
G0067,37.542869822708234,127.09858122139606,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,18,54,16,0,88,18.0,54.0,16.0,0.0,88.0,44.8,D
G0068,37.5473765106422,127.09855705537421,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,17,72,15,0,104,17.0,72.0,15.0,0.0,104.0,48.5,D
G0069,37.551883195114534,127.09853288396904,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,32,35,27,0,94,32.0,35.0,27.0,0.0,94.0,52.9,D
G0070,37.5563898761251,127.09850870717928,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,20,8,17,0,45,20.0,8.0,17.0,0.0,45.0,33.4,E
G0071,37.560789817271726,127.09845416251034,500,249074.72,250000,0.996299,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,7,6,5,0,18,7.03,6.02,5.02,0.0,18.07,11.74,E
G0072,37.56540322776034,127.09846033744095,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,7,0,6,0,13,7.0,0.0,6.0,0.0,13.0,10.9,E
G0073,37.569137487628296,127.0984402913707,500,236835.46,250000,0.947342,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0074,37.57292320708872,127.10047954899596,500,25149.68,250000,0.100599,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0075,37.53605175227948,127.1014906619978,500,114.71,250000,0.000459,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0076,37.539127691320196,127.10341771085075,500,133378.13,250000,0.533513,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,2,11,2,0,15,3.75,20.62,3.75,0.0,28.12,12.56,E
G0077,37.54288892729989,127.10424106598445,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,7,64,6,0,77,7.0,64.0,6.0,0.0,77.0,30.1,E
G0078,37.54739561832473,127.10421724067203,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,29,90,23,0,142,29.0,90.0,23.0,0.0,142.0,67.3,C
G0079,37.551902305888305,127.10419341005218,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,18,16,18,0,52,18.0,16.0,18.0,0.0,52.0,35.4,E
